name,edm_cluster_7,edm_cluster_6,edm_cluster_5,edm_cluster_4,edm_cluster_3,edm_cluster_2,edm_cluster_1,edm_cluster_0,edm_cluster_9,edm_cluster_8
hear,0.004007,0.005707,0.010324,0.004425,0.003648,0.003833,0.005599,0.007982,0.005375,0.016662
watch,0.008171,0.004177,0.006937,0.002432,0.009551,0.005684,0.004247,0.006761,0.013954,0.004717
support,0.003863,0.002602,0.00231,0.002217,0.001996,0.002096,0.020905,0.01002,0.004742,0.015812
electriczoony,0.0,0.014023,0.001713,0.0048,0.008416,0.014207,0.001548,0.001835,0.001424,0.018236
streaming,0.001101,0.012048,0.008561,0.024343,0.011806,0.001548,0.001347,0.002031,0.001481,0.001349
beat,0.001594,0.014132,0.005191,0.005677,0.001379,0.002205,0.005587,0.011788,0.008726,0.008444
days,0.002972,0.008831,0.003542,0.002092,0.005213,0.021575,0.004558,0.00311,0.003507,0.009002
feel,0.003026,0.006836,0.004636,0.016646,0.003174,0.004787,0.0056,0.004561,0.007569,0.006133
nicky,0.0,0.001954,0.036481,0.010531,0.002628,0.002022,0.001611,0.004777,0.000434,0.002481
shit,0.002816,0.005748,0.003926,0.006195,0.005371,0.007454,0.005,0.009399,0.011929,0.005046
romero,0.0,0.001601,0.036473,0.010361,0.0026,0.002502,0.001548,0.004743,0.000434,0.00241
even,0.005565,0.00621,0.013164,0.003057,0.00451,0.008511,0.003718,0.005283,0.007317,0.004617
season,0.001528,0.001391,0.000849,0.012614,0.000589,0.00333,0.001585,0.001032,0.00425,0.034584
krewella,0.000264,0.002954,0.008039,0.011711,0.025535,0.002817,0.004083,0.004541,0.000429,0.001334
again,0.004964,0.008489,0.004366,0.006642,0.007152,0.010653,0.004144,0.003421,0.006417,0.005179
made,0.006781,0.005606,0.006586,0.005847,0.004883,0.008134,0.004008,0.006767,0.007218,0.00529
added,0.009687,0.001995,0.005166,0.009843,0.002126,0.001605,0.001486,0.020458,0.006218,0.002421
artists,0.00506,0.000982,0.003901,0.003013,0.00158,0.001102,0.005331,0.036246,0.001843,0.001482
sound,0.002437,0.004541,0.003901,0.005981,0.001723,0.001217,0.019214,0.00892,0.008317,0.004115
available,0.001829,0.002981,0.001698,0.00228,0.003246,0.003781,0.010376,0.005661,0.009647,0.018466
sound_syndicate,0.0,0.0,0.0,0.051672,0.0,0.0,0.001153,0.0,0.0,0.006869
home,0.005625,0.003862,0.008529,0.00202,0.017307,0.005998,0.003535,0.002017,0.005883,0.004588
news,0.011425,0.002291,0.010724,0.002914,0.002427,0.004792,0.008348,0.003812,0.006412,0.006081
single,0.001787,0.003176,0.009802,0.006973,0.002714,0.002211,0.016164,0.004467,0.003366,0.008481
latch,0.058398,0.0,0.0,0.000179,0.0,0.0,0.0,0.000101,0.0,0.0
saturday,0.001528,0.007136,0.006064,0.005194,0.006449,0.010345,0.007624,0.001862,0.004313,0.007926
always,0.005499,0.007837,0.004121,0.007483,0.00405,0.006369,0.003913,0.004696,0.005894,0.008555
guys,0.004073,0.006708,0.004203,0.004559,0.007957,0.009659,0.004753,0.005006,0.004842,0.006203
itunes,0.001468,0.001372,0.011581,0.014402,0.002355,0.000783,0.008903,0.003724,0.009677,0.002262
electric,0.000355,0.002955,0.001608,0.002682,0.003059,0.031034,0.003772,0.002004,0.000953,0.007386
well,0.005782,0.00582,0.006929,0.002575,0.005644,0.006923,0.003593,0.004433,0.008165,0.005871
